100

x:             u:             v:
0               0               0
0.01       0.0850921      0.08516304
0.02       0.1611358       0.1612702
0.03       0.2289923       0.2291831
0.04       0.2894405       0.2896818
0.05       0.3431855       0.3434716
0.06       0.3908653       0.3911911
0.07       0.4330569       0.4334179
0.08       0.4702826       0.4706747
0.09       0.5030151       0.5034344
0.1       0.5316819       0.5321251
0.11       0.5566699       0.5571339
0.12       0.5783291       0.5788112
0.13       0.5969765       0.5974741
0.14       0.6128985       0.6134094
0.15       0.6263545       0.6268766
0.16       0.6375793       0.6381107
0.17        0.646785       0.6473242
0.18        0.654164       0.6547093
0.19       0.6598899         0.66044
0.2       0.6641202       0.6646738
0.21       0.6669971       0.6675531
0.22       0.6686494       0.6692068
0.23       0.6691938       0.6697516
0.24       0.6687355       0.6692929
0.25         0.66737       0.6679264
0.26       0.6651837       0.6657382
0.27       0.6622547       0.6628067
0.28       0.6586536       0.6592026
0.29       0.6544444       0.6549899
0.3        0.649685       0.6502266
0.31       0.6444277       0.6449649
0.32       0.6387199       0.6392523
0.33       0.6326045       0.6331318
0.34       0.6261202       0.6266422
0.35       0.6193022       0.6198185
0.36       0.6121823       0.6126926
0.37       0.6047891       0.6052933
0.38       0.5971487       0.5976465
0.39       0.5892846       0.5897758
0.4        0.581218       0.5817025
0.41       0.5729683       0.5734459
0.42       0.5645529       0.5650235
0.43       0.5559875        0.556451
0.44       0.5472864       0.5477426
0.45       0.5384626       0.5389114
0.46       0.5295276        0.529969
0.47       0.5204922       0.5209261
0.48       0.5113658        0.511792
0.49       0.5021571       0.5025757
0.5       0.4928739       0.4932848
0.51       0.4835233       0.4839264
0.52       0.4741118        0.474507
0.53       0.4646451       0.4650325
0.54       0.4551285       0.4555079
0.55       0.4455668       0.4459382
0.56       0.4359641       0.4363276
0.57       0.4263245       0.4266799
0.58       0.4166515       0.4169988
0.59       0.4069481       0.4072873
0.6       0.3972174       0.3975485
0.61       0.3874618       0.3877848
0.62       0.3776839       0.3779987
0.63       0.3678856       0.3681923
0.64        0.358069       0.3583675
0.65       0.3482358       0.3485261
0.66       0.3383875       0.3386696
0.67       0.3285256       0.3287995
0.68       0.3186515       0.3189171
0.69       0.3087661       0.3090235
0.7       0.2988708       0.2991199
0.71       0.2889662       0.2892071
0.72       0.2790535       0.2792861
0.73       0.2691333       0.2693576
0.74       0.2592063       0.2594223
0.75       0.2492732        0.249481
0.76       0.2393345       0.2395341
0.77       0.2293909       0.2295821
0.78       0.2194427       0.2196257
0.79       0.2094905       0.2096651
0.8       0.1995345       0.1997009
0.81       0.1895752       0.1897332
0.82       0.1796128       0.1797626
0.83       0.1696477       0.1697892
0.84       0.1596802       0.1598133
0.85       0.1497103       0.1498351
0.86       0.1397385       0.1398549
0.87       0.1297647       0.1298729
0.88       0.1197894       0.1198892
0.89       0.1098125        0.109904
0.9      0.09983423      0.09991745
0.91      0.08985474      0.08992965
0.92      0.07987414      0.07994073
0.93      0.06989253       0.0699508
0.94      0.05991001      0.05995995
0.95      0.04992666      0.04996828
0.96      0.03994256      0.03997586
0.97      0.02995778      0.02998275
0.98      0.01997239      0.01998904
0.99     0.009986446     0.009994771
1               0    5.888573e-18
