1000

x:             u:             v:
0               0               0
0.001     0.008950137     0.008950212
0.002      0.01780127      0.01780142
0.003      0.02655438       0.0265546
0.004      0.03521045      0.03521074
0.005      0.04377044       0.0437708
0.006       0.0522353      0.05223574
0.007      0.06060599       0.0606065
0.008      0.06888344      0.06888402
0.009      0.07706858      0.07706922
0.01      0.08516233      0.08516304
0.011      0.09316559      0.09316636
0.012       0.1010793       0.1010801
0.013       0.1089043       0.1089052
0.014       0.1166414       0.1166424
0.015       0.1242917       0.1242927
0.016       0.1318558       0.1318569
0.017       0.1393348        0.139336
0.018       0.1467294       0.1467306
0.019       0.1540404       0.1540417
0.02       0.1612688       0.1612702
0.021       0.1684153       0.1684167
0.022       0.1754807       0.1754822
0.023       0.1824659       0.1824674
0.024       0.1893717       0.1893732
0.025       0.1961987       0.1962004
0.026       0.2029479       0.2029496
0.027         0.20962       0.2096217
0.028       0.2162157       0.2162175
0.029       0.2227359       0.2227377
0.03       0.2291812       0.2291831
0.031       0.2355525       0.2355545
0.032       0.2418504       0.2418524
0.033       0.2480757       0.2480778
0.034       0.2542291       0.2542312
0.035       0.2603113       0.2603135
0.036       0.2663231       0.2663253
0.037       0.2722651       0.2722673
0.038        0.278138       0.2781403
0.039       0.2839425       0.2839449
0.04       0.2896794       0.2896818
0.041       0.2953492       0.2953516
0.042       0.3009526       0.3009551
0.043       0.3064903       0.3064929
0.044        0.311963       0.3119656
0.045       0.3173712       0.3173739
0.046       0.3227158       0.3227184
0.047       0.3279971       0.3279999
0.048        0.333216       0.3332188
0.049        0.338373       0.3383758
0.05       0.3434687       0.3434716
0.051       0.3485038       0.3485067
0.052       0.3534789       0.3534818
0.053       0.3583944       0.3583974
0.054       0.3632512       0.3632542
0.055       0.3680496       0.3680527
0.056       0.3727904       0.3727935
0.057        0.377474       0.3774771
0.058       0.3821011       0.3821043
0.059       0.3866722       0.3866754
0.06       0.3911878       0.3911911
0.061       0.3956486       0.3956519
0.062        0.400055       0.4000584
0.063       0.4044077       0.4044111
0.064       0.4087071       0.4087105
0.065       0.4129537       0.4129572
0.066       0.4171482       0.4171517
0.067        0.421291       0.4212945
0.068       0.4253825       0.4253861
0.069       0.4294235       0.4294271
0.07       0.4334143       0.4334179
0.071       0.4373554        0.437359
0.072       0.4412473        0.441251
0.073       0.4450906       0.4450943
0.074       0.4488857       0.4488894
0.075       0.4526331       0.4526369
0.076       0.4563332        0.456337
0.077       0.4599866       0.4599904
0.078       0.4635937       0.4635975
0.079       0.4671549       0.4671588
0.08       0.4706707       0.4706747
0.081       0.4741417       0.4741456
0.082       0.4775681       0.4775721
0.083       0.4809505       0.4809545
0.084       0.4842893       0.4842933
0.085       0.4875849       0.4875889
0.086       0.4908377       0.4908418
0.087       0.4940483       0.4940524
0.088       0.4972169       0.4972211
0.089       0.5003441       0.5003483
0.09       0.5034302       0.5034344
0.091       0.5064757       0.5064799
0.092       0.5094809       0.5094851
0.093       0.5124462       0.5124505
0.094       0.5153721       0.5153764
0.095        0.518259       0.5182633
0.096       0.5211071       0.5211115
0.097        0.523917       0.5239214
0.098        0.526689       0.5266934
0.099       0.5294234       0.5294278
0.1       0.5321207       0.5321251
0.101       0.5347811       0.5347856
0.102       0.5374052       0.5374097
0.103       0.5399932       0.5399977
0.104       0.5425455         0.54255
0.105       0.5450625        0.545067
0.106       0.5475444        0.547549
0.107       0.5499918       0.5499963
0.108       0.5524048       0.5524094
0.109       0.5547838       0.5547885
0.11       0.5571293       0.5571339
0.111       0.5594414       0.5594461
0.112       0.5617206       0.5617253
0.113       0.5639672       0.5639719
0.114       0.5661814       0.5661862
0.115       0.5683637       0.5683685
0.116       0.5705143       0.5705191
0.117       0.5726336       0.5726384
0.118       0.5747218       0.5747266
0.119       0.5767793       0.5767841
0.12       0.5788064       0.5788112
