1000

x:             u:             v:
0               0               0
0.001     0.008951136     0.008950212
0.002      0.01780327      0.01780142
0.003      0.02655738       0.0265546
0.004      0.03521444      0.03521074
0.005      0.04377543       0.0437708
0.006      0.05224129      0.05223574
0.007      0.06061298       0.0606065
0.008      0.06889143      0.06888402
0.009      0.07707757      0.07706922
0.01      0.08517231      0.08516304
0.011      0.09317657      0.09316636
0.012       0.1010912       0.1010801
0.013       0.1089172       0.1089052
0.014       0.1166554       0.1166424
0.015       0.1243066       0.1242927
0.016       0.1318718       0.1318569
0.017       0.1393518        0.139336
0.018       0.1467474       0.1467306
0.019       0.1540594       0.1540417
0.02       0.1612888       0.1612702
0.021       0.1684363       0.1684167
0.022       0.1755027       0.1754822
0.023       0.1824889       0.1824674
0.024       0.1893956       0.1893732
0.025       0.1962237       0.1962004
0.026       0.2029739       0.2029496
0.027       0.2096469       0.2096217
0.028       0.2162437       0.2162175
0.029       0.2227648       0.2227377
0.03       0.2292112       0.2291831
0.031       0.2355834       0.2355545
0.032       0.2418824       0.2418524
0.033       0.2481086       0.2480778
0.034       0.2542631       0.2542312
0.035       0.2603463       0.2603135
0.036        0.266359       0.2663253
0.037        0.272302       0.2722673
0.038       0.2781759       0.2781403
0.039       0.2839815       0.2839449
0.04       0.2897193       0.2896818
0.041       0.2953901       0.2953516
0.042       0.3009945       0.3009551
0.043       0.3065332       0.3064929
0.044       0.3120069       0.3119656
0.045       0.3174162       0.3173739
0.046       0.3227617       0.3227184
0.047       0.3280441       0.3279999
0.048       0.3332639       0.3332188
0.049       0.3384219       0.3383758
0.05       0.3435187       0.3434716
0.051       0.3485548       0.3485067
0.052       0.3535308       0.3534818
0.053       0.3584474       0.3583974
0.054       0.3633051       0.3632542
0.055       0.3681045       0.3680527
0.056       0.3728463       0.3727935
0.057       0.3775309       0.3774771
0.058        0.382159       0.3821043
0.059       0.3867311       0.3866754
0.06       0.3912477       0.3911911
0.061       0.3957095       0.3956519
0.062        0.400117       0.4000584
0.063       0.4044706       0.4044111
0.064        0.408771       0.4087105
0.065       0.4130186       0.4129572
0.066       0.4172141       0.4171517
0.067       0.4213579       0.4212945
0.068       0.4254504       0.4253861
0.069       0.4294924       0.4294271
0.07       0.4334842       0.4334179
0.071       0.4374263        0.437359
0.072       0.4413192        0.441251
0.073       0.4451635       0.4450943
0.074       0.4489596       0.4488894
0.075        0.452708       0.4526369
0.076       0.4564091        0.456337
0.077       0.4600635       0.4599904
0.078       0.4636715       0.4635975
0.079       0.4672338       0.4671588
0.08       0.4707506       0.4706747
0.081       0.4742225       0.4741456
0.082         0.47765       0.4775721
0.083       0.4810333       0.4809545
0.084       0.4843731       0.4842933
0.085       0.4876697       0.4875889
0.086       0.4909236       0.4908418
0.087       0.4941352       0.4940524
0.088       0.4973048       0.4972211
0.089        0.500433       0.5003483
0.09       0.5035201       0.5034344
0.091       0.5065665       0.5064799
0.092       0.5095728       0.5094851
0.093       0.5125391       0.5124505
0.094        0.515466       0.5153764
0.095       0.5183538       0.5182633
0.096        0.521203       0.5211115
